Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan
15/01/2026,Faktur Pembelian,PJL-26-01-00175,PT. Surya Makmur Kreasindo (HJ),Lunas,"MASUK 

VIA BPM

BAYAR ",27725000.000003,0.0
15/01/2026,Faktur Pembelian,PJL-26-01-00176,PT. Surya Makmur Kreasindo (HJ),Lunas,"MASUK 

VIA BPM

BAYAR ",34950000.0,0.0
15/01/2026,Faktur Pembelian,FK 3817,BETA COM,Lunas,"",4800000.0,0.0
15/01/2026,Faktur Pembelian,FK 3820,BETA COM,Lunas,"",9665000.0,0.0
16/01/2026,Faktur Pembelian,17344,FIKTIF BELI,Lunas,"",0.0,0.0
17/01/2026,Faktur Pembelian,JL.2601.04230,CANDRA (BLESSING),Lunas,"MASUK

BAYAR ",425000.0,0.0
17/01/2026,Faktur Pembelian,JL.2601.04232,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",10605000.0,0.0
17/01/2026,Faktur Pembelian,JL.2601.04337,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",16880000.000001,0.0
17/01/2026,Faktur Pembelian,17352,KETUT DUARAYASA SUPLAYER,Lunas,MASUK,26290000.0,0.0
17/01/2026,Faktur Pembelian,002311,LILI (PLATINUM),Lunas,"",1130000.0,0.0
18/01/2026,Faktur Pembelian,17346,DUAL RIZKY,Lunas,"",450000.0,0.0
18/01/2026,Faktur Pembelian,2312,LILI (PLATINUM),Lunas,"",800000.0,0.0
19/01/2026,Faktur Pembelian,JL.2601.04733,CANDRA (BLESSING),Lunas,MASUK,970000.0,0.0
19/01/2026,Faktur Pembelian,JL.2601.04783,CANDRA (BLESSING),Lunas,MASUK,10130000.0,0.0
19/01/2026,Faktur Pembelian,17347,IQ TRONIK,Lunas,"",6860000.0,0.0
19/01/2026,Faktur Pembelian,JL.2601.04740,CANDRA (BLESSING),Lunas,MASUK,10130000.0,0.0
19/01/2026,Faktur Pembelian,JL.2601.04805,CANDRA (BLESSING),Lunas,MASUK,12780000.000001,0.0
19/01/2026,Faktur Pembelian,JL5526010641,YULI (HP CENTRE),Lunas,"",1274000.0,0.0
19/01/2026,Faktur Pembelian,00706799_036,PRIYO (K GALAXY),Lunas,"",2625000.0,0.0
19/01/2026,Faktur Pembelian,ONLINE SBY / INV/2026/012525,WULAN (DISCOUNT NOTEBOOK),Lunas,"",380000.0,0.0
19/01/2026,Faktur Pembelian,6957,GUDANG AKSESORIES SURABAYA (KURNIAWAN),Lunas,"",7927500.0,0.0
20/01/2026,Faktur Pembelian,17348,PT TERA DATA INDONUSA,Lunas,"",420000.0,0.0
20/01/2026,Faktur Pembelian,JL.2601.05065,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA

BAYAR ",19879999.999998,0.0
20/01/2026,Faktur Pembelian,JL.2601.05066,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA

BAYAR ",10605000.0,0.0
20/01/2026,Faktur Pembelian,JL.2601.05069,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",2562000.0,0.0
20/01/2026,Faktur Pembelian,JL.2601.05055,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA

BAYAR",3436000.0,0.0
20/01/2026,Faktur Pembelian,002313,LILI (PLATINUM),Lunas,"",1595000.0,0.0
21/01/2026,Faktur Pembelian,17349,FIKTIF BELI,Lunas,"",0.0,0.0
21/01/2026,Faktur Pembelian,17350,ONLINE,Lunas,"",5550000.0,0.0
21/01/2026,Faktur Pembelian,17351,caturwarga computer,Lunas,MASUK,1284000.0,0.0
21/01/2026,Faktur Pembelian,PJ260005,ATC,Lunas,MASUK,6716000.0,0.0
21/01/2026,Faktur Pembelian,JL.2601.05455,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",5025000.0,0.0
21/01/2026,Faktur Pembelian,JL.2601.05456,CANDRA (BLESSING),Lunas,"MASUK 

VIA BSA",800000.0,0.0
21/01/2026,Faktur Pembelian,JL.2601.05457,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",385000.0,0.0
21/01/2026,Faktur Pembelian,JL.2601.05490,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",9490000.000001,0.0
21/01/2026,Faktur Pembelian,012026134931,AGUS (DORAN),Lunas,Sudah bayar tgl 04 02 26,26281200.0,0.0
21/01/2026,Faktur Pembelian,JN-N/SBY//210126/008,PT. INDO WARNA MULIA ( ALFA INK ),Lunas,Bayar,16012800.0,0.0
21/01/2026,Faktur Pembelian,JN-N/SBY//210126/009,PT. INDO WARNA MULIA ( ALFA INK ),Lunas,Bayar,2750000.0,0.0
22/01/2026,Faktur Pembelian,17353,FIKTIF BELI,Lunas,"",50000.0,0.0
22/01/2026,Faktur Pembelian,JL.2601.05763,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA

BAYAR ",47500000.0,0.0
22/01/2026,Faktur Pembelian,JL.2601.05798,CANDRA (BLESSING),Lunas,MASUK,15600000.0,0.0
22/01/2026,Faktur Pembelian,ONLINE SBY / INV/2026/015118,WULAN (DISCOUNT NOTEBOOK),Lunas,"",597000.0,0.0
22/01/2026,Faktur Pembelian,002315,LILI (PLATINUM),Lunas,"",675000.0,0.0
22/01/2026,Faktur Pembelian,17389,IQ TRONIK,Lunas,"",5200000.0,0.0
22/01/2026,Faktur Pembelian,JKT-JKT01A-PC26014138,AGRES IT,Lunas,"",120000000.0,0.0
22/01/2026,Faktur Pembelian,2601099,ANDY (JMK),Lunas,"",400000.0,0.0
23/01/2026,Faktur Pembelian,17354,FIKTIF BELI,Lunas,"",0.0,0.0
23/01/2026,Faktur Pembelian,17355,ONLINE,Lunas,"",14000000.0,0.0
23/01/2026,Faktur Pembelian,JL.2601.05972,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",2990000.0,0.0
23/01/2026,Faktur Pembelian,JL.2601.05973,CANDRA (BLESSING),Lunas,"MASUK
",5980000.0,0.0
23/01/2026,Faktur Pembelian,ACJ01/01/FP/2601/BC00006,PT. ANGKASA CERAH JAYA,Lunas,MASUK,35000000.0,0.0
23/01/2026,Faktur Pembelian,JL.2601.06027,CANDRA (BLESSING),Lunas,MASUK,39760000.0,0.0
23/01/2026,Faktur Pembelian,JL.2601.06028,CANDRA (BLESSING),Lunas,MASUK,4385000.0,0.0
23/01/2026,Faktur Pembelian,JL.2601.06032,CANDRA (BLESSING),Lunas,MASUK,30210000.0,0.0
23/01/2026,Faktur Pembelian,JL.2601.06033,CANDRA (BLESSING),Lunas,MASUK,17855000.0,0.0
23/01/2026,Faktur Pembelian,JL.2601.06097,CANDRA (BLESSING),Lunas,MASUK,10220000.0,0.0
23/01/2026,Faktur Pembelian,17356,DUAL RIZKY,Lunas,MASUK,400000.0,0.0
23/01/2026,Faktur Pembelian,JL.2601.06131,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",20800000.0,0.0
23/01/2026,Faktur Pembelian,17357,NURUL WTC,Lunas,"",10750000.0,0.0
23/01/2026,Faktur Pembelian,17364,DYNAMICS MATARAM,Lunas,"",6420000.0,0.0
23/01/2026,Faktur Pembelian,PJL-26-01-00266,PT. Surya Makmur Kreasindo (HJ),Lunas,"MASUK

VIA BPM ",7320000.0,0.0
23/01/2026,Faktur Pembelian,JL202600000130,EDISON ATK,Lunas,bayar ,492000.000041,4.1e-05
24/01/2026,Faktur Pembelian,17358,FIKTIF BELI,Lunas,"",0.0,0.0
24/01/2026,Faktur Pembelian,17359,ONLINE,Lunas,"",16000000.0,0.0
24/01/2026,Faktur Pembelian,17361,ONLINE,Lunas,"",11000000.0,0.0
24/01/2026,Faktur Pembelian,17362,HARAPAN BARU,Lunas,"",2225000.0,0.0
24/01/2026,Faktur Pembelian,17363,ONLINE,Lunas,"",5500000.0,0.0
24/01/2026,Faktur Pembelian,JL.2601.06272,CANDRA (BLESSING),Lunas,MASUK,18175000.0,0.0
24/01/2026,Faktur Pembelian,JL.2601.06342,CANDRA (BLESSING),Lunas,MASUK,1560000.0,0.0
24/01/2026,Faktur Pembelian,JL.2601.06357,CANDRA (BLESSING),Lunas,MASUK,6390000.0,0.0
24/01/2026,Faktur Pembelian,17365,FIKTIF BELI,Lunas,"",80000.0,0.0
24/01/2026,Faktur Pembelian,17366,PT TERA DATA INDONUSA,Lunas,"",420000.0,0.0
24/01/2026,Faktur Pembelian,17367,BENGKEL NOTEBOOK,Lunas,"",900000.0,0.0
24/01/2026,Faktur Pembelian,ONLINE SBY / INV / 2026 / 016910,WULAN (DISCOUNT NOTEBOOK),Lunas,"",3967500.0,0.0
24/01/2026,Faktur Pembelian,SSORDTDI-26011186,PT TERA DATA INDONUSA,Lunas,"",220000.0,0.0
24/01/2026,Faktur Pembelian,012026153444,AGUS (DORAN),Lunas,"",1500000.000003,0.0
24/01/2026,Faktur Pembelian,012026153434,AGUS (DORAN),Lunas,"",9920000.0,0.0
24/01/2026,Faktur Pembelian,2601106,ANDY (JMK),Lunas,"",9330000.0,0.0
25/01/2026,Faktur Pembelian,17368,REVAYAH,Lunas,"",350000.0,0.0
25/01/2026,Faktur Pembelian,17369,ATM SURABAYA,Lunas,"",9945000.0,0.0
26/01/2026,Faktur Pembelian,17370,FIKTIF BELI,Lunas,"",645000.0,0.0
26/01/2026,Faktur Pembelian,JL.2601.06718,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",44000000.0,0.0
26/01/2026,Faktur Pembelian,JL.2601.06768,CANDRA (BLESSING),Lunas,"MASUK
BAYAR 26 2 2026
",11390000.0,0.0
26/01/2026,Faktur Pembelian,JL.2601.06814,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",22000000.0,0.0
26/01/2026,Faktur Pembelian,17371,ONLINE,Lunas,"",1200000.0,0.0
26/01/2026,Faktur Pembelian,S260126023,DYNAMICS MATARAM,Lunas,"",7600000.0,0.0
26/01/2026,Faktur Pembelian,ONLINE SBY /INV/2026/018291,WULAN (DISCOUNT NOTEBOOK),Lunas,"",651000.000001,0.0
26/01/2026,Faktur Pembelian,002318,LILI (PLATINUM),Lunas,"",5902500.0,0.0
26/01/2026,Faktur Pembelian,JL5526010860,YULI (HP CENTRE),Lunas,BAYAR 27 2 2026,25200000.0,0.0
26/01/2026,Faktur Pembelian,JL5526010863,YULI (HP CENTRE),Lunas,BAYAR 27 2 2026,8400000.0,0.0
26/01/2026,Faktur Pembelian,2612098,ANDY (JMK),Lunas,"",13020000.0,0.0
26/01/2026,Faktur Pembelian,26012770,DWI DUTA SARANA COMPUTER SURABAYA,Lunas,"",24075000.0,0.0
