Product Code,Product Name,Unassigned,Total Quantity,Product Unit
"",* ASUS TUF FX506HC Ci5-11400H 8GB 512GB SSD RTX 3050 4GB WIN 11,0,0,UNIT
"",* ASUS VIVOBOOK 14 A1404VA VIP Ci5 - 1335U 8 512GB SSD WIN 11,0,0,UNIT
"",* ASUS VIVOBOOK 14 A1404VA VIP Ci7-1355U 16GB 512GB SSD WIN 11 #,0,0,UNIT
"",* ASUS VIVOBOOK 14 A1404VAP - VIPS INTEL CORE 5 120U 16GB 512GB SSD WIN 11,2,2,UNIT
"",* ASUS VIVOBOOK 14 A1404VAP - VIPS INTEL CORE 5 120U 8GB 512GB SSD WIN 11,0,0,UNIT
"",* ASUS VIVOBOOK 14 E410KA N4500 8GB 256GB SSD WIN 11,10,10,UNIT
"",* ASUS VIVOBOOK 14 E410KA N4500 8GB 256GB SSD WIN 11 KS,0,0,UNIT
"",* ASUS VIVOBOOK 14 M1405YA VIPS751 AMD RYZEN 7 - 7730U 16GB 512GB SSD WIN 11 #,0,0,UNIT
"","* ASUS VIVOBOOK 14"" A1404VA Ci7 - 1355U 16GB 1TB SSD WIN 11",0,0,UNIT
"","* ASUS VIVOBOOK 14"" A1404VA PROC Ci7 1355U 8GB 512GB SSD WIN 11 #",0,0,UNIT
"","* ASUS VIVOBOOK 14"" A1404ZA CI5 1235U 8GB 512GB SSD WIN 11 #",0,0,PCS
"","* ASUS VIVOBOOK 14"" A1404ZA VIPS I5-1235U 16GB 512GB SSD WIN 11",0,0,UNIT
"",* ASUS VIVOBOOK 14X K3405VF - VIPS551 Ci5-13500H 8GB 512GB SSD RTX2050 4GB WIN 11 #,0,0,UNIT
"",* ASUS VIVOBOOK FLIP T3300KA-OLED622 INTEL N6000 8GB 256GB SSD W11,0,0,UNIT
"",* ASUS VIVOBOOK FLIP TP1400KA HD421 INTEL N4500 4GB 256GB SSD WIN 11,0,0,UNIT
"",* ASUS VIVOBOOK FLIP TP340VA-OLEDS752 Ci7-13700H 16GB 512GB SSD INTEL IRIS XE WIN 11 TOUCH SCREEN,0,0,UNIT
"",* ASUS VIVOBOOK GO 14 E1404FA - FHD AMD RYZEN 3 7320U 8GB 512GB SSD WIN 11 #,7,7,UNIT
"",* ASUS VIVOBOOK GO 14 E1404FA AMD RYZEN 5 7520U 16GB 512GB SSD WIN 11,0,0,UNIT
"",* ASUS VIVOBOOK GO 14 E1404FA FHD AMD RYZEN 3 7320U 8 256GB SSD WIN 11 #,0,0,UNIT
"",* ASUS VIVOBOOK GO 14 E1404FA FHD AMD RYZEN 5 7520U 8 512GB SSD WIN 11 #,0,0,UNIT
"",* ASUS VIVOBOOK GO 14 E1404GA Ci3-N305 8GB 512GB SSD WIN 11 #,0,0,UNIT
"",* ASUS VIVOBOOK GO 14 E1404GA FHD Ci3 N305 8GB 256GB SSD WIN 11 #,8,8,UNIT
"",* ASUS VIVOBOOK GO 14 E410KA FHD N4500 8GB 512GB SSD WIN 11,1,1,UNIT
"","* ASUS X441MAO INTEL N4020 4GB 1TB 14""",0,0,UNIT
"",* ASUS ZENBOOK FLIP 13 UX 363EA - EM501TS CI5-1135G7 8GB 512GB SSD (JT),0,0,UNIT
"",* ASUS ZENBOOK S13 OLED UX5304MA OLED 712 CORE ULTRA 7 155U 32GB 1TB SSD WIN 11 *,0,0,UNIT
"",* AUTO SHEET FEEDER FOR G1010 / G2010,24,24,UNIT
"",* AUTO SHEET FEEDER UNIT G1020 / 2020,5,5,PCS
"",* AV15-51 I5-1155G7 8GB 512GB SSD 15INCS FHD AM,0,0,UNIT
"","* AXIOO HYPE 1 N4020 4GB 128GB WIN 11 14"" #",4,4,PCS
"",* AXIOO HYPE 1 N4020 8GB 256,0,0,UNIT
"",* AXIOO HYPE 10 INTEL N4020 8 256 #,5,5,UNIT
"",* AXIOO HYPE 3 (G11) INTEL CORE i3 -  1125G4 8GB 256GB SSD,5,5,UNIT
"",* AXIOO HYPE 5 RYZEN 5 3500 8GB 256GB @,0,0,UNIT
"",* AXIOO MAYBOOK HYPE 5 Ci5-1035G4 8 512GB SSD,0,0,UNIT
"","* AXIOO MYBOOK 11G GREY DC N4020 11,6 4GB 256GB SSD",0,0,UNIT
"","* AXIOO MYBOOK 14E INTEL N4000 4GB 256GB SSD 14""",0,0,UNIT
"",* AXIOO MYBOOK HYPE 3 Ci3-1005G1 8GB 256GB SSD,0,0,UNIT
"",* AXIOO MYBOOK HYPE 5 AMD X3 RYZEN 5 3500U 8 256GB SSD WIN 11 #,0,0,UNIT
"",* BALLPOINT SNOWMAN V1 PCS,132,132,PCS
"",* BARCODE MK7120 HONEYWELL,0,0,PCS
"",* BATERAI ABC ALKALINE AA,36,36,PCS
"",* BATERAI ABC ALKALINE AAA,38,38,PCS
"",* BATERAI AXIOO 14E,1,1,PCS
"",* BATERAI AXIOO A587578 IB,0,0,PCS
"",* BATERAI AXIOO HYPE 10,0,0,PCS
"",* BATERAI AXIOO MYBOOK 11G,0,0,PCS
"",* BATERAI AXIOO MYBOOK 11G C,0,0,PCS
"",* BATOK TC JETE E11 35W USB + C,1,1,PCS
"",* BATOK TC JETE E31 TYPE C + USB 20W,1,1,PCS
"",* BERRY LAKBAN HITAM 36 X 12M,19,19,PCS
"",* BINDER CLIP NO 155,118,118,PCS
"",* BINDER CLIP NO. 111,140,140,PCS
"",* BINDER CLIP NO. 200,57,57,PCS
"",* BINDER CLIP NO. 260,24,24,PCS
"",* BINGKAI FOTO 10R,24,24,PCS
"",* BINGKAI FOTO 12R,30,30,PCS
"",* BINGKAI FOTO 20X30 (10R JUMBO),24,24,PCS
"",* BLUEPRINT ADAPTOR LITE80L,1,1,PCS
"",* BLUEPRINT CANON BLACK (100ML),256,256,PCS
"",* BLUEPRINT CANON CYAN (100ML),220,220,PCS
"",* BLUEPRINT CANON KOTAK  WARNA ( SUNTIK ),19,19,PCS
"",* BLUEPRINT CANON KOTAK HITAM ( SUNTIK ),19,19,PCS
"",* BLUEPRINT CANON YELLOW (100ML),320,320,PCS
"",* BLUEPRINT CATRIDGE TONER HP 285A,10,10,PCS
"",* BLUEPRINT DOUBLE SIDED PHOTO PAPER,1,1,PCS
"",* BLUEPRINT KERTAS FOTO A3,1,1,PCS
"",* BLUEPRINT KERTAS FOTO MATAHARI 230GR,304,304,PCS
"",* BLUEPRINT KERTAS FOTO STIKER A4,1,1,PCS
"",* BLUEPRINT KERTAS INKJET PAPER ( ISI 50 ),1,1,PCS
"",* BLUEPRINT KERTAS THERMAL 80 X 40,0,0,PCS
"",* BLUEPRINT PLASTIK LAMINATING A4,58,58,PCS
"",* BLUEPRINT PRINTABLE CARD (KERTAS ID CARD),4,4,PCS
"",* BLUEPRINT PRINTER ECO BP-ECO58 (BATERAI),5,5,PCS
"",* BLUEPRINT PRINTER THEMAL BP -  LITE80L,2,2,UNIT
"",* BLUEPRINT SCANNER BARCODE WIRELLES BT LITEEW2D,0,0,PCS
"",* BLUEPRINT TRANSFER PAPER DASAR HITAM,9,9,PCS
"",* BLUEPRINT TRANSFER PAPER DASAR PUTIH,20,20,PCS
"",* BLUEPRINT TRANSPARANT FILM STIKER WATER RESISTANT A4,20,20,PCS
"",* BP CASH DRAWER 405X420X98/112MM,0,0,UNIT
"",* BRAKET GANTUNG PROJECTOR,10,10,UNIT
"","* BRAKET TV 43 """,20,20,PCS
"",* BROTHER DCP L2540 DW,0,0,UNIT
"",* BUKU HARD COVER FOLIO (ISI 100),6,6,PCS
"",* BUKU HARD COVER ISI 100 OKTAVO,25,25,PCS
"",* BUKU HARDCOVER PAPERSTAR 100 QUARTO,15,15,PCS
"",* CAM CCTV EZVIZ C6N #,1,1,UNIT
"",* CAM CCTV EZVIZ H7C DUAL 2K + DUAL LENS PAN WIFI,0,0,PCS
"",* CAM CCTV EZVIZ OUTDOOR H8C #,0,0,PCS
"",* CAM DAHUA HFW1230S1-A,0,0,PCS
"",* CAM HIK DS-2CE16D0T-EXLPF OUTDOOR #,0,0,PCS
"",* CAM HIK DS-2CE76D0T-EXLPF INDOOR #,0,0,PCS
"",* CAMERA CANON EOS R100 KIT 18 -45 #,0,0,UNIT
"",* CAMERA CANON M50 MARK ii KIT,0,0,UNIT
"",* CAMERA CCTV SPC INDOOR UVC7741PN TKDN,0,0,PCS
"",* CAMERA CCTV SPC OUTDOOR uvc77B41pn TKDN,0,0,PCS
"",* CAMERA LOGITECH PTZ PRO 2,0,0,PCS
"",* CAMERA SONY ZV - E10L BLACK,0,0,UNIT
"",* CAMERA SONY ZV E10 II KIT 16 - 50MM,0,0,UNIT
"",* CARD READER 6 SLOT MTECH,2,2,PCS
"",* CARRIAGE TUBE ( RUMAH CATRIDGE ),5,5,PCS
"",* CASING ALCATROZ FUTURA BLACK N3000,0,0,UNIT
"",* CASING AXIOO,0,0,PCS
